month,CHN,USA,DEU,NLD,JPN,FRA,ITA,GBR,KOR,HKG
2012-11,0.6017470181425485,0.46992391075313322,0.45189459301462043,0.50116145572762183,1.1134138498498549,0.63223459281863614,-0.01430089803794877,0.57566496157591163,0.45590634737419788,0.62811497230613211
2012-12,0.80964607111644493,0.28905419126770421,-0.13965371998188189,0.1036203889836686,0.78955326334464226,-0.1096726071239426,-0.52759112449000456,-0.013004085950942009,0.35194416698093578,0.68007121387605607
2013-01,0.59550098700718646,0.1460613491983499,0.50111418026821508,0.34908214078916128,0.32727053682616097,0.58184664712992296,0.0059129987741232586,0.1920568667683013,0.41109648429104217,0.45269914957392088
2013-02,-0.061198340862101103,-0.01091495516288947,0.34064942924566438,0.19209388668577529,-0.0075756481303143964,0.46318639523713878,-0.068561957163650863,-0.02459087012834605,0.071850244164253105,-0.59989776387994498
2013-03,0.81393016565491394,0.1035486264994793,0.51996208258095322,0.26735550339246178,0.77939593412722319,0.69690628799738974,0.1467281171616206,0.23149647969202969,0.45564585697055371,0.35778455969224732
2013-04,0.68328896419394758,0.14362260751396089,0.44243278159070698,0.13376453693791321,0.50138904131943396,0.71889236777636967,-0.11971811544361829,-0.01046371951070519,0.47104932802250132,0.3688265429971086
2013-05,0.51349041385942107,0.30116952837079869,0.27534232024864702,0.24573503385690371,0.38241922233453912,0.30383412038379809,0.15773372975997291,0.30725531540545498,0.50291537414205389,0.33075893179467503
2013-06,0.38408579588844538,0.29712232620719597,0.47777487863409762,0.25784233238176052,0.54300637666260221,0.62934404521055787,0.062288045316864479,0.18208144842613291,0.2711080079688109,0.2045469578405999
2013-07,0.59703557629606496,0.42182091325443088,0.5643934661631409,0.2328923502728259,0.69128447324017095,0.91256122817117602,0.58159899981932761,0.39189078347428757,0.49764117019564502,0.4963346870290411
2013-08,0.69514153794111289,0.42104552815823798,0.18036242680561071,0.02359448566429373,0.6286002508591978,-0.31607658535587962,-0.95694265953438229,-0.082180726939515669,0.37019125647015361,0.57899203013888267
2013-09,0.6537078989726034,0.43403229076556937,0.6130644527902589,0.32182769711543291,0.88382823791350651,0.67900264498717511,0.26121565620409798,0.42067537284547329,0.32771847859206621,0.69593842517563942
2013-10,0.55276376589453258,0.7879132177302951,1.0038645389594569,0.62494655263556498,1.1059651320245361,1.395533496608548,0.60512950499567519,0.78562373513941031,0.62901706828966852,0.70647318769312173
2013-11,0.85460703115334913,0.61917570151526991,0.69233918060344035,0.56646898080596786,0.9436882976362343,0.72763939543530742,0.17830320519791079,0.71355507910017046,0.49674650980141211,0.79948438580007075
2013-12,0.96391065761324957,0.43684826914892522,0.25843047783300183,0.31653757632075802,0.70753615863418684,0.53072663425432443,-0.080193685779334417,0.37861300136862158,0.50256776947335735,0.65268586972418086
2014-01,0.76970321855997414,0.33459299736846448,0.68195620285310321,0.42100462949938461,0.50328109008362487,0.77792768415826996,0.1714800055154046,0.52335846726331958,0.348384092268961,0.33093283459505668
2014-02,-0.1589984859249487,-0.054086802262371662,0.74029771390122856,0.28335958078871581,0.1101894959582476,0.74084148394172089,0.20563506932309619,0.35874913843014011,0.18675434196129931,-0.57614949371560431
2014-03,0.51148731327919916,0.43027113241185277,0.94261645289607487,0.54527096993937985,0.98093442669234743,1.000599533929049,0.47275131906010748,0.79786457778335773,0.57415948618674606,0.38105081103517552
2014-04,0.66474026308356182,0.44842450746687229,0.78910231384669827,0.43756225550237038,0.54244800135357085,0.78457522997834772,0.2360344321512258,0.53695425885735171,0.70344307412402973,0.32421866920878428
2014-05,0.63506945532020254,0.48425741426712249,0.63854033552936851,0.32674078923981942,0.27836826338334919,0.62253116608407855,0.52835316405155419,0.69246269820138961,0.43133330889067778,0.46073851204751709
2014-06,0.53504873332730829,0.5385865286181426,0.78514916968265569,0.35063129028460011,0.48540313254761519,0.87299491905649584,0.40878419714209219,0.68258299734799577,0.45862290385486892,0.48279060427720832
2014-07,0.86807123383656659,0.55764331776656761,0.99913614628108938,0.35449267170219562,0.61236844040414218,1.1153247735718821,0.90522420794861225,1.1591759515058691,0.60389010176164137,0.70272770366456805
2014-08,0.75049603731871861,0.56333096180428499,0.17361978871482811,-0.052379442809969007,0.2329859230600671,-0.56730073194302799,-0.99426170459479946,0.25721650861092837,0.30352398950299392,0.65280039072672791
2014-09,1.053500570655461,0.63120396856403282,0.87185087700443842,0.40026775995755548,0.78049885458862278,0.78833469439173698,0.4084604662820443,1.0550367478899989,0.52631008393406831,0.80548075801511965
2014-10,0.79500734173863397,0.91778551644650264,0.79130001450479182,0.45635060584728682,0.95128020280433789,0.89886268630516264,0.4741765943397741,1.1249721735387139,0.73083327135165788,0.78893457311823079
2014-11,0.85196988884182334,0.6389717566920593,0.45103762174335538,0.22685592705932811,0.25944135794131518,0.29221686308315231,-0.070099058674281789,0.73865925926747888,0.52972058883234674,0.75844584482911581
2014-12,1.162035569368405,0.628369238630754,0.13251528459049439,0.073751118164378543,0.43752586721896702,0.081954398098904896,-0.16757314482528171,0.49662802819360519,0.69449396936606134,0.66843352214776963
2015-01,0.55730251763903316,0.2970902141740619,0.060385137782871932,-0.064569663285259218,0.074019762293040428,-0.19858336793460429,-0.44604616944189229,0.18476270427539679,0.3698035564997485,0.52834686409916742
2015-02,0.046801616209475247,-0.044612217929512213,0.15783155287178771,-0.1600394941790263,-0.33253276304828677,-0.057361079370979257,-0.2175768752279498,0.29530209299599519,-0.035448098718966793,-0.3886300798140464
2015-03,0.1922895667918367,0.72902652675864865,0.46279350212920101,0.080273496554329429,0.085449966278675044,0.10918706952922,-0.029493105723654808,0.65243589789711642,0.52297389481379164,0.45333790207538632
2015-04,0.44998214355231858,0.51848427813912479,0.06306989819715926,-0.15337060399677949,0.08135619256885554,-0.1616410907747706,-0.32232877699452439,0.4445594457162052,0.4702416317012717,0.53631012533675959
2015-05,0.43638368836983249,0.48693105273107351,-0.0074414977186089267,-0.13387658177852901,-0.45774056124495788,-0.25790628399951998,-0.26969296196070108,0.47859252031899441,0.28521542189373822,0.64040266338665996
2015-06,0.55147979939303682,0.59485597755112263,0.38405157415277891,0.081855839274660253,-0.083124481889765206,0.41196553139932141,0.026897226847383739,0.8810271689815079,0.46400316898503707,0.71182157681492075
2015-07,0.59315858020859336,0.54778812127382281,0.36640865611857548,-0.054893921263226307,0.042638462928889009,0.066115870214078581,0.2342116098385178,0.57597405156329373,0.41521308951573482,0.91748502994547509
2015-08,0.53991333002339859,0.60042119371023017,-0.27466101158225847,-0.33463433691333988,-0.46136233230239709,-1.0957314610336231,-1.352532695303021,-0.0069796157258231392,0.16010406453246151,0.67138809252436993
2015-09,0.72874711291655925,0.65568441466865945,0.47494784256437378,-0.010157881530693949,0.1343289990066934,0.21041435670993411,0.021189179668955161,0.67474069800195091,0.32280300923856392,0.99353593807220131
2015-10,0.53756126500955037,0.80203407817078476,0.49123533687019871,0.13855237967048081,0.2159208575239987,0.27279623881261728,0.03572973934499464,0.88782175043627409,0.47673934581051941,0.83899933044618247
2015-11,0.68651406460482489,0.53712070938750878,0.14502980447139169,0.0049968356549990739,-0.27599147683014041,-0.1190979770826333,-0.24897811966807371,0.52662013906040195,0.44868424366330217,1.005652403062145
2015-12,1.112058077798834,0.42166854915930913,-0.20968478871328419,-0.077362823851806262,-0.14227824277036449,-0.33950455974338761,-0.48137195022500318,0.01319810331273674,0.31184479754665639,0.98863443193913692
2016-01,0.2382448917416588,0.0094625519081804627,-0.20153277958798541,-0.31821671974687982,-0.48216137445722729,-0.53851245123214242,-0.68918936299320721,-0.2880271179410987,-0.063732494035539461,0.2709554671540908
2016-02,-0.33522555504595808,0.15493944651475169,0.16769290183908489,-0.17207393951495151,-0.46325734135121482,-0.036028733632989002,-0.17298700234884909,0.25271145625699698,-0.23379636004188811,-0.75881348676819527
2016-03,0.31454107205689508,0.26637169084926482,0.35679984821115629,-0.018403056227231259,0.20632447346228841,0.18991399441406731,0.10084750835618871,0.50249808060674828,0.3342599139311932,0.1098755247594331
2016-04,0.32429921555958308,0.16573799677502099,0.26156932411261741,-0.1170825518645995,-0.15564504899672299,0.052022893069583832,-0.055307098580736673,0.56752203943141311,0.13543638064115379,0.18197342831360699
2016-05,0.34654217815740113,0.28512253607980931,0.037263473072849378,-0.1775900505903372,-0.50743432057684135,-0.01089863875642472,-0.036869372434557728,0.15865085929382719,0.177692238637051,0.24682074449856539
2016-06,0.39942046247451291,0.46030563809431579,0.3595174544466993,0.05784831481614542,0.19439804954123249,0.30633557017694701,0.02244919640140328,0.554885202496328,0.28423650073583678,0.45433111565852602
2016-07,0.42308112564000072,0.38928404451424831,0.071759314917999611,-0.238404807474626,0.098970771589665135,-0.34124546024271052,0.0072132847117981,-0.029973137828236351,0.12684736640931579,0.44221174885763648
2016-08,0.52153014399674802,0.6265570588419449,-0.04428880904548127,-0.1703976152007079,-0.060076881454320483,-0.84750257621932501,-0.96229297233646649,0.00079582147668824481,0.2066490192634288,0.51060386287533877
2016-09,0.53103720888377226,0.52794997443730796,0.33378716084013738,0.095253118624353997,0.48060173455160982,0.076076999288960945,0.09991531350140978,0.654149170179262,0.20424917974851939,0.78673763003121744
2016-10,0.3727558267326907,0.77633418187948167,0.2152114066226789,0.047277770032177202,0.30476334587360249,-0.13202699549810809,-0.1343915930690511,0.02712845844225608,0.32506646898841518,0.55179196174104128
2016-11,0.67024862359769521,0.62477924686995556,0.29197926868278862,0.2325038841169853,0.30835805126872218,0.072721193060029499,-0.024038282819569219,0.68878609948093283,0.47069191373277869,0.89212628522119597
2016-12,0.92776266007239405,0.60022604778982291,-0.1223112335848605,-0.044910375430881028,0.36109226111356912,-0.18207760345604479,-0.39816438522569653,0.38965109889692839,0.56294051904206366,0.95832165790492796
2017-01,0.32331331121518808,0.41294821952553451,0.059876978416836063,0.019063006585903611,-0.1576353887158515,-0.31206063989781091,-0.41100447325414802,0.1789102465472644,0.26080693561842838,0.30343697462284308
2017-02,-0.12986675894125979,0.09854939839632243,0.068947451499510939,-0.058748668011864028,-0.16321355070443719,-0.31927357413889912,-0.2190132429006075,0.27009317504300329,0.24933583349866659,-0.047989419912239352
