multiplier_g,multiplier_h,lambda_g,lambda_h,rank_g,rank_h,penalized_rank_g,penalized_rank_h,converged,iterations,final_change,objective
1.2,2.0,5.190843874070317,8.651406456783862,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.2,2.4,5.190843874070317,10.381687748140633,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.2,2.8,5.190843874070317,12.111969039497406,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.2,3.2,5.190843874070317,13.84225033085418,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.4,0.4,6.055984519748703,1.7302812913567724,3,5,3,5,True,32,7.14393906757676e-07,664.1771225536651
1.4,0.6,6.055984519748703,2.5954219370351583,3,4,3,4,True,20,7.008932302710714e-07,671.9272067134347
1.4,0.8,6.055984519748703,3.460562582713545,3,3,3,3,True,14,4.952773679193079e-07,676.7984654594336
1.4,1.0,6.055984519748703,4.325703228391931,3,2,3,2,True,11,5.19507593659207e-07,679.5112052348919
1.4,1.2,6.055984519748703,5.190843874070317,3,1,3,1,True,10,8.842323691542128e-07,680.6522499838107
1.4,1.4,6.055984519748703,6.055984519748703,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,1.6,6.055984519748703,6.92112516542709,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,1.8,6.055984519748703,7.786265811105476,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,2.0,6.055984519748703,8.651406456783862,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,2.4,6.055984519748703,10.381687748140633,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,2.8,6.055984519748703,12.111969039497406,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.4,3.2,6.055984519748703,13.84225033085418,3,0,3,0,True,10,7.997306686930413e-07,680.8064877134462
1.6,0.4,6.92112516542709,1.7302812913567724,1,5,1,5,True,31,8.048022136109951e-07,665.7525756474236
1.6,0.6,6.92112516542709,2.5954219370351583,1,4,1,4,True,19,9.863005677729483e-07,673.4726653489429
1.6,0.8,6.92112516542709,3.460562582713545,1,3,1,3,True,13,8.915806396345399e-07,678.3351331452387
1.6,1.0,6.92112516542709,4.325703228391931,1,2,1,2,True,9,9.084466032828565e-07,681.0545730827336
1.6,1.2,6.92112516542709,5.190843874070317,1,1,1,1,True,8,2.1241301879339903e-07,682.2283630143919
1.6,1.4,6.92112516542709,6.055984519748703,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,1.6,6.92112516542709,6.92112516542709,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,1.8,6.92112516542709,7.786265811105476,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,2.0,6.92112516542709,8.651406456783862,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,2.4,6.92112516542709,10.381687748140633,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,2.8,6.92112516542709,12.111969039497406,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.6,3.2,6.92112516542709,13.84225033085418,1,0,1,0,True,8,1.799622234263803e-07,682.4384661253725
1.8,0.4,7.786265811105476,1.7302812913567724,1,5,1,5,True,30,7.93542931729032e-07,666.4367692694418
1.8,0.6,7.786265811105476,2.5954219370351583,1,4,1,4,True,19,6.485593977950254e-07,674.110573542085
1.8,0.8,7.786265811105476,3.460562582713545,1,3,1,3,True,13,5.378538586108613e-07,678.9335742057685
1.8,1.0,7.786265811105476,4.325703228391931,1,2,1,2,True,9,4.278212389416342e-07,681.6142421213401
1.8,1.2,7.786265811105476,5.190843874070317,1,1,1,1,True,6,2.252926930451666e-07,682.7574286383916
1.8,1.4,7.786265811105476,6.055984519748703,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,1.6,7.786265811105476,6.92112516542709,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,1.8,7.786265811105476,7.786265811105476,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,2.0,7.786265811105476,8.651406456783862,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,2.4,7.786265811105476,10.381687748140633,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,2.8,7.786265811105476,12.111969039497406,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
1.8,3.2,7.786265811105476,13.84225033085418,1,0,1,0,True,5,2.911984326754949e-07,682.9645459766573
2.0,0.4,8.651406456783862,1.7302812913567724,0,5,0,5,True,29,9.512251398190835e-07,666.4866836511105
2.0,0.6,8.651406456783862,2.5954219370351583,0,4,0,4,True,18,9.588271112327314e-07,674.1469906356921
2.0,0.8,8.651406456783862,3.460562582713545,0,3,0,3,True,13,4.240830516008241e-07,678.9603145416315
2.0,1.0,8.651406456783862,4.325703228391931,0,2,0,2,True,9,3.0700863423210975e-07,681.632853098672
2.0,1.2,8.651406456783862,5.190843874070317,0,1,0,1,True,5,9.57470035996616e-07,682.7707260719002
2.0,1.4,8.651406456783862,6.055984519748703,0,0,0,0,True,1,0.0,682.9773573343936
2.0,1.6,8.651406456783862,6.92112516542709,0,0,0,0,True,1,0.0,682.9773573343936
